kmeans_cluster,cluster_risk_label,sample_count,avg_total_risk_score,risk_target_rate,warning_rate,risk_rank
3,우선점검,107,0.7426759679572764,0.9252336448598131,0.5700934579439252,5
4,신중검토,197,0.5762134880348079,0.36548223350253806,0.12690355329949238,4
2,관찰,284,0.47406554325955735,0.1056338028169014,0.007042253521126761,3
0,양호,179,0.4514242617717478,0.1005586592178771,0.0,2
1,안정권,108,0.27388941798941796,0.0,0.0,1
