gu,contract_month,avg_sale_price,pred_supported_sale_price,price_support_gap_rate
강북구,2026-03-01,71769.06474820143,65259.661162246426,9.97462056962193
용산구,2026-03-01,243613.75,222040.43124595442,9.715941656656573
중랑구,2026-03-01,69188.1974248927,64383.41886951136,7.4627577095888435
성북구,2026-03-01,88616.18497109826,85903.62224757578,3.1576814254756655
중구,2026-03-01,118906.02040816328,116334.84975459806,2.210146537335082
노원구,2026-03-01,64385.79017264276,63188.308188645526,1.8951005626265716
관악구,2026-03-01,85537.56880733946,84313.48596625563,1.4518233080455694
금천구,2026-03-01,62429.565217391304,62293.46586069851,0.21848095111153534
동작구,2026-03-01,140438.7931034483,142001.7675193374,-1.1006725079504773
서대문구,2026-03-01,101507.15481171547,103424.45619270433,-1.85381818920707
구로구,2026-03-01,75529.9191374663,77166.42611431259,-2.120749993555489
도봉구,2026-03-01,55654.6,57238.71137011898,-2.7675524696489857
성동구,2026-03-01,167657.5892857143,175018.93580534097,-4.206028613849013
서초구,2026-03-01,215709.05511811023,226190.88492867272,-4.634063752775819
양천구,2026-03-01,116880.24390243902,123211.0328959539,-5.138167292908702
송파구,2026-03-01,183104.7272727273,193202.41475297292,-5.22648099049717
마포구,2026-03-01,132590.9090909091,141080.89842758523,-6.017816324747837
강남구,2026-03-01,243211.56647398844,259662.9953664296,-6.335684786053294
동대문구,2026-03-01,94695.7445887446,102816.0392201457,-7.897887034934546
영등포구,2026-03-01,118645.21072796934,129362.77879617276,-8.284893203392208
은평구,2026-03-01,76967.56329113925,83941.48374995108,-8.308073847712866
강서구,2026-03-01,92152.51396648044,101295.46264017359,-9.026019957252327
강동구,2026-03-01,115612.44541484716,127747.19433904084,-9.499033608509697
광진구,2026-03-01,129663.33333333331,146631.51583063655,-11.5719887373339
종로구,2026-03-01,106378.70370370372,122073.88013643672,-12.857112770718174
