gu,contract_month,avg_sale_price,pred_supported_sale_price,price_support_gap_rate
강북구,2026-03-01,71769.06474820143,65259.661162246426,9.97462056962193
용산구,2026-03-01,243613.75,222040.43124595442,9.715941656656573
중랑구,2026-03-01,69188.1974248927,64383.41886951136,7.4627577095888435
성북구,2026-03-01,88616.18497109826,85903.62224757578,3.1576814254756655
중구,2026-03-01,118906.02040816328,116334.84975459806,2.210146537335082
노원구,2026-03-01,64385.79017264276,63188.308188645526,1.8951005626265716
관악구,2026-03-01,85537.56880733946,84313.48596625563,1.4518233080455694
금천구,2026-03-01,62429.565217391304,62293.46586069851,0.21848095111153534
동작구,2026-03-01,140438.7931034483,142001.7675193374,-1.1006725079504773
서대문구,2026-03-01,101507.15481171547,103424.45619270433,-1.85381818920707
