sggCd,gu,contract_month,avg_sale_price,med_sale_price,avg_sale_price_per_m2,med_sale_price_per_m2,sale_count,avg_jeonse_deposit,med_jeonse_deposit,avg_jeonse_deposit_per_m2,med_jeonse_deposit_per_m2,jeonse_count,total_rent_count,monthly_count,monthly_ratio,jeonse_rate,gap_rate,sale_growth_1m,jeonse_growth_1m,growth_gap_1m,sale_volume_growth_1m,rent_volume_growth_1m,price_gap,purchase_burden_gap,gap_direction,sale_over_jeonse_gap_ratio,jeonse_over_sale_gap_ratio,gap_abs_ratio,monthly_ratio_diff,monthly_ratio_pct_change,monthly_shift_abs,sale_growth_acceleration,sale_growth_vs_market,low_jeonse_rate_score,gap_rate_score,sale_growth_score,growth_gap_score,sale_volume_change_score,rent_volume_change_score,monthly_ratio_score,monthly_shift_score,jeonse_weakness_score,resident_risk_index,investor_risk_index,sale_stagnation_flag,jeonse_stagnation_flag,volume_drop_flag,high_gap_flag,rent_shift_flag,stagnation_score,stagnation_level,resident_risk_grade,investor_risk_grade,total_risk_score,risk_grade,warning_flag,risk_target
11680,강남구,2023-06,228844.3223443223,219000.0,2663.4218038225954,2751.59085552675,273,82748.70833333333,70000.0,988.4261791201932,855.1674304856135,1152,2265,1113,0.4913907284768212,0.3711113942604151,0.6288886057395848,0.0519548911399525,0.027492912177043,0.0244619789629094,0.011111111111111,0.0207300585849481,146095.61401098897,146095.61401098897,매매가>전세가,0.6384061116935709,0.0,0.6384061116935709,0.029470944790476017,0.06380100145372314,0.029470944790476017,,0.033142496159747195,0.7966757909256632,0.7966757909256632,0.49929167411516784,0.5483121831166754,0.005495387083834682,0.02087848382541312,0.47681826030777413,0.08306219627435502,0.5713853707546988,0.611466519705821,0.4974878259603615,0,0,0,1,0,0.2,활발 관찰 구간,우선 점검 구간,우선 점검 구간,0.5544771728330913,높음,1,1
11680,강남구,2023-07,231213.47154471543,214000.0,2623.7942485500907,2696.871985484988,246,86057.53900087642,73000.0,1023.5492468890948,887.7284595300262,1141,2045,904,0.4420537897310513,0.3901027100180238,0.6098972899819761,-0.014878437660768,0.0355343358066102,-0.0504127734673782,-0.0989010989010988,-0.0971302428256071,145155.932543839,145155.932543839,매매가>전세가,0.6278004978432523,0.0,0.6278004978432523,-0.04933693874576989,-0.10040266510257756,0.04933693874576989,-0.0668333288007205,-0.01419377933106328,0.7641053518260879,0.7641053518260879,0.395713601900519,0.45551423684332465,0.04891498393303442,0.09782568609166156,0.3780249077543906,0.1391849121020958,0.5595120483617966,0.5614578337102691,0.45893817968806433,0,0,1,1,0,0.45,안정 정체 구간,우선 점검 구간,신중 투자 구간,0.5101980066991667,높음,0,1
11680,강남구,2023-08,232705.5160142349,212000.0,2612.9974725301104,2722.987222428979,281,85542.61219081272,73000.0,1034.1612982511565,916.573138795361,1132,2041,909,0.4453699167074963,0.395775850961616,0.604224149038384,-0.004114947666322,0.0103678952373957,-0.0144828429037178,0.1422764227642277,-0.0019559902200488,147162.90382342215,147162.90382342215,매매가>전세가,0.6323997228085475,0.0,0.6323997228085475,0.0033161269764450108,0.007501636799590816,0.0033161269764450108,0.010763489994446,-0.032442891108078346,0.7543758157599758,0.7543758157599758,0.41239482314045767,0.5000449185194493,0.07036776143934727,0.0019699949232949722,0.3846651920894986,0.009173146926686427,0.5966707998621424,0.5534377030305925,0.45799196275654375,1,0,0,1,0,0.45,안정 정체 구간,우선 점검 구간,신중 투자 구간,0.5057148328935681,높음,0,1
11680,강남구,2023-09,213373.78640776695,200000.0,2538.890571684745,2544.3028572528856,206,90637.70837166514,80000.0,1080.6872770347356,949.7102262105066,1087,1984,897,0.4521169354838709,0.4256533499660123,0.5743466500339878,-0.0283608773542399,0.0449890929608933,-0.0733499703151333,-0.2669039145907473,-0.0279274865262126,122736.07803610181,122736.07803610181,매매가>전세가,0.5752162911031049,0.0,0.5752162911031049,0.006747018776374569,0.015149246779516456,0.006747018776374569,-0.024245929687917903,-0.013364573201623865,0.7031353817536886,0.7031353817536888,0.37481856139813685,0.4270864331892022,0.13200662923802303,0.02812744466363178,0.3981755683228806,0.018865637821251606,0.5455519108276117,0.5135575606793584,0.4281659406990874,0,0,1,1,0,0.45,안정 정체 구간,신중 매수 구간,신중 투자 구간,0.4708617506892229,주의,0,0
11680,강남구,2023-10,252927.24489795917,220000.0,2709.602322018062,2745.6218462451766,147,90321.6753144654,80000.0,1105.4108641739272,965.3873322345185,1272,2244,972,0.4331550802139037,0.4079605539128109,0.5920394460871891,0.0672387192410726,0.0228776517171829,0.0443610675238896,-0.2864077669902912,0.1310483870967742,162605.56958349375,162605.56958349375,매매가>전세가,0.6428946381363354,0.0,0.6428946381363354,-0.018961855269967187,-0.04194015702967102,0.018961855269967187,0.0955995965953125,0.09744388475505535,0.7334788368205725,0.7334788368205725,0.5229785004214618,0.5729746292848916,0.14165293890855557,0.1319866810378012,0.3602059394732853,0.05337333972405707,0.5781998948851832,0.5724903157859734,0.5024934936371601,0,0,1,1,0,0.45,안정 정체 구간,우선 점검 구간,우선 점검 구간,0.5374919047115667,높음,1,1
11680,강남구,2023-11,207916.38655462183,190000.0,2401.8463586448424,2343.106087366066,119,95791.6944,85000.0,1121.9609473320238,988.8170744672184,1250,2366,1116,0.4716821639898563,0.4671243617618618,0.5328756382381382,-0.1135797533359096,0.0149718839342731,-0.1285516372701828,-0.1904761904761904,0.054367201426025,112124.69215462184,112124.69215462184,매매가>전세가,0.5392778030276392,0.0,0.5392778030276392,0.0385270837759526,0.08894524279139682,0.0385270837759526,-0.1808184725769822,-0.09800552463880409,0.632011870284857,0.6320118702848571,0.24274662889272755,0.35867083035881553,0.09420663572288117,0.054756465398049035,0.4373534047820803,0.1086463737347024,0.589872918714542,0.46081853188183824,0.3664832791819109,0,0,1,1,0,0.45,안정 정체 구간,관찰 필요,선별 검토 가능,0.41365090553187456,보통,0,0
11680,강남구,2023-12,220948.51485148515,192500.0,2446.4982282640526,2527.075812274368,101,93423.27992277993,85000.0,1097.0361118262097,976.5879425746044,1554,3089,1535,0.496924571058595,0.4484107526227914,0.5515892473772086,0.0185906435932077,-0.0222154216375216,0.0408060652307293,-0.1512605042016807,0.3055790363482671,127525.23492870522,127525.23492870522,매매가>전세가,0.577171722626983,0.0,0.577171722626983,0.025242407068738704,0.05351571247727227,0.025242407068738704,0.1321703969291173,0.014398612990254347,0.6641060376704502,0.6641060376704503,0.4475838734744358,0.5685686459447866,0.07481115189758214,0.30776695307629764,0.4878993463065073,0.07111630414038979,0.6447807171737373,0.5403774617927981,0.4540009202671784,0,0,1,1,0,0.45,안정 정체 구간,우선 점검 구간,신중 투자 구간,0.49718919102998826,높음,0,1
11680,강남구,2024-01,224470.7539267016,190000.0,2537.5572564750987,2522.635683257445,191,85224.13646368305,75000.0,1046.2994566431414,949.893137022085,1363,2354,991,0.4209855564995752,0.4123254574742278,0.5876745425257722,0.0372201488474643,-0.0462488469031417,0.0834689957506061,0.891089108910891,-0.2379410812560699,139246.61746301857,139246.61746301857,매매가>전세가,0.6203330056461964,0.0,0.6203330056461964,-0.0759390145590198,-0.15281799086176684,0.0759390145590198,0.018629505254256603,0.02248343969544682,0.7259929507746996,0.7259929507746997,0.4764558191813772,0.6214440439360294,0.4407191621689244,0.2396447166827243,0.3358374221456978,0.2143374941805371,0.6802665489778486,0.5826989464875844,0.5612191291380186,0,0,0,1,1,0.30000000000000004,완만 정체 구간,우선 점검 구간,우선 점검 구간,0.5719590378128014,높음,1,1
11680,강남구,2024-02,242224.0804597701,211000.0,2638.261956660537,2707.581227436823,174,86050.65538461538,75000.0,1072.866916134738,955.253896430367,975,1884,909,0.482484076433121,0.4066567057248375,0.5933432942751625,0.0396856858809666,0.025391831490416,0.0142938543905506,-0.0890052356020942,-0.199660152931181,156173.42507515472,156173.42507515472,매매가>전세가,0.6447477260671978,0.0,0.6447477260671978,0.061498519933545825,0.14608225622963356,0.061498519933545825,0.002465537033502295,0.04099060978053248,0.735714959295892,0.7357149592958921,0.48027690033185316,0.5357100569374267,0.04402063999092745,0.2010897005655331,0.45898338773982367,0.1735421643268537,0.5744876582991699,0.5835080784450059,0.48465493963874273,0,0,1,1,0,0.45,안정 정체 구간,우선 점검 구간,우선 점검 구간,0.5340815090418742,높음,0,1
11680,강남구,2024-03,230100.91286307055,207000.0,2529.7759363996884,2589.3656868333196,241,84569.90179514255,74000.0,1067.9449855907878,953.614315987756,947,1872,925,0.4941239316239316,0.4221500292672795,0.5778499707327205,-0.0411202610062908,-0.0045876431362824,-0.0365326178700083,0.3850574712643677,-0.0063694267515923,145531.011067928,145531.011067928,매매가>전세가,0.6324660309128421,0.0,0.6324660309128421,0.011639855190810566,0.024124848382274022,0.011639855190810566,-0.0808059468872574,-0.07256676210030115,0.7091436381020484,0.7091436381020485,0.3550441107603842,0.472716963952035,0.19044358687082444,0.006415031239073867,0.48229128536723115,0.032688216661100625,0.6187529505919203,0.5302339304607202,0.4455878479749346,0,1,0,1,0,0.4,완만 정체 구간,우선 점검 구간,신중 투자 구간,0.48791088921782744,주의,0,1
