sggCd,gu,contract_month,avg_sale_price,med_sale_price,avg_sale_price_per_m2,med_sale_price_per_m2,sale_count,avg_jeonse_deposit,med_jeonse_deposit,avg_jeonse_deposit_per_m2,med_jeonse_deposit_per_m2,jeonse_count,total_rent_count,monthly_count,monthly_ratio,jeonse_rate,gap_rate,sale_growth_1m,jeonse_growth_1m,growth_gap_1m,sale_volume_growth_1m,rent_volume_growth_1m
11110,종로구,2023-05,97098.5294117647,93495.0,1315.4387809977475,1180.7557598702565,34,59292.695238095235,59000.0,789.6318223459838,729.7551789077213,105,208,103,0.4951923076923077,0.6002801755221598,0.39971982447784016,,,,,
11110,종로구,2023-06,125363.33333333333,118250.0,1382.048126105596,1282.2173508702006,30,65890.12195121951,63000.0,858.1524533230362,769.6498858858703,82,160,78,0.4875,0.620928053888529,0.379071946111471,0.05063659827432332,0.08677541740083194,-0.036138819126508626,-0.11764705882352944,-0.23076923076923073
11110,종로구,2023-07,119448.18181818182,127500.0,1427.6663638408274,1283.479441885857,22,62944.70297029703,55000.0,838.1512937520341,764.9758738378251,101,174,73,0.41954022988505746,0.5870778460432236,0.41292215395677645,0.033007705646095564,-0.023307233456655974,0.05631493910275154,-0.2666666666666667,0.08749999999999991
11110,종로구,2023-08,133262.0,137225.0,1582.5904320504912,1401.4083192609467,40,59248.738738738735,48000.0,842.6970273938982,739.5741792901828,111,213,102,0.4788732394366197,0.5324795413441579,0.46752045865584213,0.10851559729464677,0.0054235239815891845,0.10309207331305759,0.8181818181818181,0.22413793103448265
11110,종로구,2023-09,102655.20833333333,94250.0,1321.018892695977,1148.6121173598608,48,57560.235849056604,51000.0,763.8425694317509,736.1099134833722,106,217,111,0.511520737327189,0.5782222901240095,0.4217777098759905,-0.16528062729129978,-0.09357391256737957,-0.0717067147239202,0.19999999999999996,0.018779342723004744
11110,종로구,2023-10,91894.8275862069,92000.0,1218.7867403452456,1003.780471907183,29,61146.39215686275,58000.0,805.9067104615168,741.8747056052755,102,188,86,0.4574468085106383,0.661236854474826,0.33876314552517395,-0.0773888646982882,0.05506912381311624,-0.13245798851140445,-0.39583333333333337,-0.13364055299539168
11110,종로구,2023-11,82070.83333333333,67000.0,1199.0241893775196,1061.4514287440993,24,66165.3781512605,60000.0,795.6976804131717,754.3391188251001,119,224,105,0.46875,0.6636210407283466,0.3363789592716534,-0.016214937620775083,-0.012667756597409041,-0.0035471810233660417,-0.1724137931034483,0.1914893617021276
11110,종로구,2023-12,96205.0,100250.0,1325.002247946542,1064.8278412073432,20,57682.604166666664,49500.0,972.5830040526599,1050.5817054957731,96,209,113,0.5406698564593302,0.7340236634012861,0.2659763365987139,0.10506715351124374,0.22230217329229762,-0.11723501978105388,-0.16666666666666663,-0.0669642857142857
11110,종로구,2024-01,95822.5,87500.0,1289.2106841839106,1136.956611519512,20,61720.47169811321,61950.0,867.8896419726487,828.8525956703108,106,227,121,0.5330396475770925,0.6731945775969392,0.32680542240306076,-0.027012455124585832,-0.10764465515412469,0.08063220002953886,0.0,0.0861244019138756
11110,종로구,2024-02,85002.27272727272,60000.0,1052.7455931039763,971.3931121415103,22,62452.84722222222,51500.0,798.0161063261007,745.1204654834437,72,165,93,0.5636363636363636,0.7580331958200687,0.24196680417993133,-0.18341850093308854,-0.08050970108103916,-0.10290879985204937,0.10000000000000009,-0.27312775330396477
11110,종로구,2024-03,104163.125,105000.0,1346.8015584443942,1283.2275817913705,32,61211.96,50000.0,784.1201037999078,662.5149065853982,75,176,101,0.5738636363636364,0.5822090855802066,0.41779091441979344,0.279322912645406,-0.017413185543543985,0.29673609818894997,0.4545454545454546,0.06666666666666665
11110,종로구,2024-04,98387.14285714286,100000.0,1278.524996705149,1142.5959780621572,35,65168.125,64500.0,802.3824444594535,766.1484265657027,64,130,66,0.5076923076923077,0.6275844794018504,0.37241552059814964,-0.05069533912487234,0.023290233946362093,-0.07398557307123443,0.09375,-0.26136363636363635
11110,종로구,2024-05,121948.90476190476,128000.0,1645.2487579369692,1460.1629457200295,63,60468.115942028984,55000.0,807.1939228573024,700.3501750875438,69,159,90,0.5660377358490566,0.4906212017868161,0.5093787982131839,0.286833469957094,0.0059964901164932805,0.28083697984060074,0.8,0.22307692307692317
11110,종로구,2024-06,117486.40625,116495.0,1553.2042482029078,1393.8835029006582,64,63753.39473684211,51500.0,826.0031235860766,750.6257092373025,76,144,68,0.4722222222222222,0.5318058616835364,0.4681941383164636,-0.055945649124500174,0.023301960280118994,-0.07924760940461917,0.015873015873015817,-0.09433962264150941
