feature,importance
sale_growth_1m,0.32828789228996436
growth_gap_1m,0.18642372973942822
jeonse_rate,0.15274653459518509
gap_rate,0.14971226647964558
monthly_ratio,0.05925167794345993
sale_volume_growth_1m,0.05112511343270742
jeonse_growth_1m,0.04171413919472876
rent_volume_growth_1m,0.03073864632488071
