sggCd,gu,contract_month,avg_sale_price,med_sale_price,avg_sale_price_per_m2,med_sale_price_per_m2,sale_count,avg_jeonse_deposit,med_jeonse_deposit,avg_jeonse_deposit_per_m2,med_jeonse_deposit_per_m2,jeonse_count,total_rent_count,monthly_count,monthly_ratio,jeonse_rate,gap_rate,sale_growth_1m,jeonse_growth_1m,growth_gap_1m,sale_volume_growth_1m,rent_volume_growth_1m,gap_score,sale_growth_score,growth_gap_score,monthly_ratio_score,jeonse_growth_score,sale_volume_change_score,rent_volume_change_score,user_risk_score,investor_risk_score,total_risk_score,user_risk_grade,investor_risk_grade,risk_grade,risk_target,warning_flag,resident_risk_index,investor_risk_index,resident_risk_grade,monthly_ratio_diff,monthly_shift_abs,sale_stagnation_flag,jeonse_stagnation_flag,volume_drop_flag,high_gap_flag,rent_shift_flag,stagnation_score,stagnation_level,kmeans_cluster,logistic_regression_pred,logistic_regression_risk_proba,random_forest_pred,random_forest_risk_proba
11680,강남구,2023-06,228844.3223443223,219000.0,2663.4218038225954,2751.59085552675,273,82748.70833333333,70000.0,988.4261791201932,855.1674304856135,1152,2265,1113,0.4913907284768212,0.3711113942604151,0.6288886057395848,0.0519548911399525,0.027492912177043,0.0244619789629094,0.011111111111111,0.0207300585849481,0.9657142857142856,0.808,0.6537142857142857,0.76,0.7325714285714285,0.0228571428571428,0.104,0.8097142857142856,0.7413142857142856,0.7755142857142856,높음,높음,높음,1,1,0.8097142857142856,0.7413142857142856,높음,0.0,0.0,0,0,0,1,0,0.2,1단계_활발관찰,4,1,0.9987510221502067,1,0.9966666666666667
11680,강남구,2023-07,231213.47154471543,214000.0,2623.7942485500907,2696.871985484988,246,86057.53900087642,73000.0,1023.5492468890948,887.7284595300262,1141,2045,904,0.4420537897310513,0.3901027100180238,0.6098972899819761,-0.014878437660768,0.0355343358066102,-0.0504127734673782,-0.0989010989010988,-0.0971302428256071,0.9302857142857144,0.3314285714285714,0.2125714285714285,0.5417142857142857,0.7908571428571428,0.2354285714285714,0.4365714285714285,0.5648,0.5227428571428572,0.5437714285714286,주의,보통,보통,0,0,0.5648,0.5227428571428572,주의,-0.0493369387457698,0.0493369387457698,0,0,1,1,0,0.45,3단계_안정정체,4,0,0.24247080019344514,0,0.05333333333333334
11680,강남구,2023-08,232705.5160142349,212000.0,2612.9974725301104,2722.987222428979,281,85542.61219081272,73000.0,1034.1612982511565,916.573138795361,1132,2041,909,0.4453699167074963,0.395775850961616,0.604224149038384,-0.004114947666322,0.0103678952373957,-0.0144828429037178,0.1422764227642277,-0.0019559902200488,0.9222857142857144,0.4102857142857143,0.3988571428571428,0.5508571428571428,0.5577142857142857,0.32,0.0114285714285714,0.5974285714285714,0.5916571428571429,0.5945428571428572,주의,주의,주의,0,0,0.5974285714285714,0.5916571428571429,주의,0.003316126976445,0.003316126976445,1,0,0,1,0,0.45,3단계_안정정체,4,1,0.6210072195302184,0,0.2633333333333333
11680,강남구,2023-09,213373.78640776695,200000.0,2538.890571684745,2544.3028572528856,206,90637.70837166514,80000.0,1080.6872770347356,949.7102262105066,1087,1984,897,0.4521169354838709,0.4256533499660123,0.5743466500339878,-0.0283608773542399,0.0449890929608933,-0.0733499703151333,-0.2669039145907473,-0.0279274865262126,0.8685714285714285,0.2388571428571428,0.1382857142857143,0.5782857142857143,0.8457142857142858,0.5291428571428571,0.1428571428571428,0.5192571428571429,0.4970857142857143,0.5081714285714286,보통,보통,보통,0,0,0.5192571428571429,0.4970857142857143,보통,0.0067470187763745,0.0067470187763745,0,0,1,1,0,0.45,3단계_안정정체,4,0,0.017628870547820776,0,0.0
11680,강남구,2023-10,252927.24489795917,220000.0,2709.602322018062,2745.6218462451766,147,90321.6753144654,80000.0,1105.4108641739272,965.3873322345185,1272,2244,972,0.4331550802139037,0.4079605539128109,0.5920394460871891,0.0672387192410726,0.0228776517171829,0.0443610675238896,-0.2864077669902912,0.1310483870967742,0.8971428571428571,0.8685714285714285,0.7554285714285714,0.4994285714285714,0.688,0.5485714285714286,0.5588571428571428,0.7810857142857143,0.7813714285714286,0.7812285714285714,높음,높음,높음,1,1,0.7810857142857143,0.7813714285714286,높음,-0.0189618552699671,0.0189618552699671,0,0,1,1,0,0.45,3단계_안정정체,4,1,0.9950301479844837,1,0.9933333333333333
11680,강남구,2023-11,207916.38655462183,190000.0,2401.8463586448424,2343.106087366066,119,95791.6944,85000.0,1121.9609473320238,988.8170744672184,1250,2366,1116,0.4716821639898563,0.4671243617618618,0.5328756382381382,-0.1135797533359096,0.0149718839342731,-0.1285516372701828,-0.1904761904761904,0.054367201426025,0.7702857142857142,0.032,0.0628571428571428,0.6765714285714286,0.6068571428571429,0.412,0.2445714285714285,0.4138285714285714,0.4005714285714286,0.4072,안정,안정,안정,0,0,0.4138285714285714,0.4005714285714286,안정,0.0385270837759526,0.0385270837759526,0,0,1,1,0,0.45,3단계_안정정체,4,0,5.310288945438441e-06,0,0.0033333333333333335
11680,강남구,2023-12,220948.51485148515,192500.0,2446.4982282640526,2527.075812274368,101,93423.27992277993,85000.0,1097.0361118262097,976.5879425746044,1554,3089,1535,0.496924571058595,0.4484107526227914,0.5515892473772086,0.0185906435932077,-0.0222154216375216,0.0408060652307293,-0.1512605042016807,0.3055790363482671,0.8217142857142857,0.5988571428571429,0.7382857142857143,0.7817142857142857,0.2285714285714285,0.3417142857142857,0.9154285714285716,0.684,0.7042857142857142,0.6941428571428572,높음,높음,높음,1,0,0.684,0.7042857142857142,높음,0.0252424070687387,0.0252424070687387,0,0,1,1,0,0.45,3단계_안정정체,4,1,0.8283820929735393,1,0.96
11680,강남구,2024-01,224470.7539267016,190000.0,2537.5572564750987,2522.635683257445,191,85224.13646368305,75000.0,1046.2994566431414,949.893137022085,1363,2354,991,0.4209855564995752,0.4123254574742278,0.5876745425257722,0.0372201488474643,-0.0462488469031417,0.0834689957506061,0.891089108910891,-0.2379410812560699,0.8891428571428571,0.7222857142857143,0.8822857142857143,0.424,0.1051428571428571,0.9462857142857144,0.8537142857142858,0.6978857142857142,0.8132571428571428,0.7555714285714286,높음,높음,높음,1,1,0.6978857142857142,0.8132571428571428,높음,-0.0759390145590198,0.0759390145590198,0,0,0,1,1,0.30000000000000004,2단계_완만정체,3,1,0.9933203884034074,1,0.9766666666666667
11680,강남구,2024-02,242224.0804597701,211000.0,2638.261956660537,2707.581227436823,174,86050.65538461538,75000.0,1072.866916134738,955.253896430367,975,1884,909,0.482484076433121,0.4066567057248375,0.5933432942751625,0.0396856858809666,0.025391831490416,0.0142938543905506,-0.0890052356020942,-0.199660152931181,0.8994285714285715,0.7405714285714285,0.5908571428571429,0.7222857142857143,0.7108571428571429,0.2102857142857143,0.776,0.7525714285714287,0.7038857142857142,0.7282285714285714,높음,높음,높음,1,0,0.7525714285714287,0.7038857142857142,높음,0.0614985199335458,0.0614985199335458,0,0,1,1,1,0.55,3단계_안정정체,4,1,0.9773533272137486,1,0.9266666666666666
11680,강남구,2024-03,230100.91286307055,207000.0,2529.7759363996884,2589.3656868333196,241,84569.90179514255,74000.0,1067.9449855907878,953.614315987756,947,1872,925,0.4941239316239316,0.4221500292672795,0.5778499707327205,-0.0411202610062908,-0.0045876431362824,-0.0365326178700083,0.3850574712643677,-0.0063694267515923,0.8731428571428571,0.1725714285714285,0.2765714285714286,0.7714285714285715,0.3954285714285714,0.6548571428571428,0.032,0.5156571428571428,0.5518857142857143,0.5337714285714286,보통,주의,보통,0,0,0.5156571428571428,0.5518857142857143,보통,0.0116398551908105,0.0116398551908105,0,1,0,1,0,0.4,2단계_완만정체,4,0,0.07970100343537229,0,0.06333333333333334
