feature,importance
sale_growth_1m,0.338433035889169
gap_rate,0.2542128345197736
growth_gap_1m,0.2161957544286267
monthly_ratio,0.06630209186713805
sale_volume_growth_1m,0.048856570474528356
jeonse_growth_1m,0.04523790860522932
rent_volume_growth_1m,0.03076180421553493
